Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
NORTHWESTERN UNIVERSITY LAW REVIEW,0029-3571,,NORTHWESTERN UNIV,"SCHOOL OF LAW OFFICE OF LEGAL PUBLICATIONS 357 EAST CHICAGO AVE, CHICAGO, USA, IL, 60611-3069",English,Law
NOTRE DAME LAW REVIEW,0745-3515,,NOTRE DAME LAW SCHOOL,"NOTRE DAME LAW SCHOOL, ROOM B1, NOTRE DAME, USA, IN, 46556",English,Law
OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320,1521-0642,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,International Relations | Law
OXFORD JOURNAL OF LEGAL STUDIES,0143-6503,1464-3820,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
PSYCHIATRY PSYCHOLOGY AND LAW,1321-8719,1934-1687,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Criminology & Penology | Law | Psychiatry | Psychology, Multidisciplinary"
PSYCHOLOGY CRIME & LAW,1068-316X,1477-2744,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Criminology & Penology | Law | Psychology, Multidisciplinary"
PSYCHOLOGY PUBLIC POLICY AND LAW,1076-8971,1939-1528,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Health Policy & Services | Law | Psychology, Multidisciplinary"
QUEEN MARY JOURNAL OF INTELLECTUAL PROPERTY,2045-9807,2045-9815,EDWARD ELGAR PUBLISHING LTD,"THE LYPIATTS, 15 LANSDOWN RD, CHELTENHAM, ENGLAND, GLOS, GL50 2JA",English,Law
REGULATION & GOVERNANCE,1748-5983,1748-5991,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Law | Political Science | Public Administration
REVIEW OF CENTRAL AND EAST EUROPEAN LAW,0925-9880,0925-9880,MARTINUS NIJHOFF PUBL,"PO BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,Law
REVIEW OF EUROPEAN COMPARATIVE & INTERNATIONAL ENVIRONMENTAL LAW,2050-0386,2050-0394,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Environmental Studies | Law
REVISTA CHILENA DE DERECHO,0718-3437,0718-3437,PONTIFICA UNIV CATOLICA DE CHILE FACULTAD DE DERECHO,"AV LIBERATADOR BENARDO O HIGGINS 340, SANTIAGO, CHILE, CASILLA 114-D, SANTIAGO 1, CHILE, 00000",Spanish,Law
